6,#006d2c
5,#31a354
4,#74c476
3,#a1d99b
2,#c7e9c0
1,#edf8e9
0,white
-1,#eff3ff
-2,#c6dbef
-3,#9ecae1
-4,#6baed6
-5,#3182bd
-6,#08519c
