2020,presidential,2020總統立委,總統,dpp-kmt-5
2016,presidential,2016總統立委,總統,dpp-kmt-5
2012,presidential,20120114-總統及立委,總統,kmt-dpp-5
2008,presidential,20080322-總統,,kmt-dpp-5
2004,presidential,2004   11任總統,,dpp-kmt-5
2000,presidential,2000年10任總統,,dpp-ind-5
1996,presidential,9任總統,,kmt-dpp-5
